ID,first name,last name,birth_date,shirt number,role,team_name
P-53048,Axel,Witsel,1989-01-12,6,&midfielder&&&,Belgium
P-21531,not applicable,Alisson,1992-10-02,1,&&&goalkeeper&,Brazil
P-09441,Dani,Alves,1983-05-06,13,&&defender&&,Brazil
P-37860,not applicable,Antony,2000-02-24,19,forward&&&&,Brazil
P-14060,not applicable,Bremer,1997-03-18,24,&&defender&&,Brazil
P-02305,not applicable,Casemiro,1992-02-23,5,&midfielder&&&,Brazil
P-40137,not applicable,Danilo,1991-07-15,2,&&defender&&,Brazil
P-89248,not applicable,Ederson,1993-08-17,23,&&&goalkeeper&,Brazil
P-77071,not applicable,Fabinho,1993-10-23,15,&midfielder&&&,Brazil
P-74941,not applicable,Fred,1993-03-05,8,&midfielder&&&,Brazil
P-74688,Bruno,Guimarães,1997-11-16,17,&midfielder&&&,Brazil
P-92004,Gabriel,Jesus,1997-04-03,18,forward&&&&,Brazil
P-92812,Vinícius,Júnior,2000-07-12,20,forward&&&&,Brazil
P-76060,not applicable,Marquinhos,1994-05-14,4,&&defender&&,Brazil
P-70483,Gabriel,Martinelli,2001-06-18,26,forward&&&&,Brazil
P-55590,Éder,Militão,1998-01-18,14,&&defender&&,Brazil
P-87008,not applicable,Neymar,1992-02-05,10,forward&&&&,Brazil
P-05164,Lucas,Paquetá,1997-08-27,7,&midfielder&&&,Brazil
P-15197,not applicable,Pedro,1997-06-20,25,forward&&&&,Brazil
P-83169,not applicable,Raphinha,1996-12-14,11,forward&&&&,Brazil
P-42740,Éverton,Ribeiro,1989-04-10,22,&midfielder&&&,Brazil
P-68016,not applicable,Richarlison,1997-05-10,9,forward&&&&,Brazil
P-06446,not applicable,Rodrygo,2001-01-09,21,forward&&&&,Brazil
P-97698,Alex,Sandro,1991-01-26,6,&&defender&&,Brazil
P-32798,Thiago,Silva,1984-09-22,3,&&defender&&,Brazil
P-26953,Alex,Telles,1992-12-15,16,&&defender&&,Brazil
P-66020,not applicable,Weverton,1987-12-13,12,&&&goalkeeper&,Brazil
P-53452,Vincent,Aboubakar,1992-01-22,10,forward&&&&,Cameroon
P-51549,Christian,Bassogog,1995-10-18,11,forward&&&&,Cameroon
P-59303,Jean-Charles,Castelletto,1995-01-26,21,&&defender&&,Cameroon
P-06117,Eric Maxim,Choupo-Moting,1989-03-23,13,forward&&&&,Cameroon
P-02759,Enzo,Ebosse,1999-03-11,24,&&defender&&,Cameroon
P-70357,Devis,Epassy,1993-02-02,16,&&&goalkeeper&,Cameroon
P-47677,Collins,Fai,1992-08-13,19,&&defender&&,Cameroon
P-63923,Samuel,Gouet,1997-12-14,14,&midfielder&&&,Cameroon
P-34633,Martin,Hongla,1998-03-16,18,&midfielder&&&,Cameroon
P-29115,Pierre,Kunde,1995-07-26,15,&midfielder&&&,Cameroon
P-39394,Bryan,Mbeumo,1999-08-07,20,forward&&&&,Cameroon
P-27913,Moumi,Ngamaleu,1994-07-09,6,forward&&&&,Cameroon
P-32773,Jerome,Ngom Mbekeli,1998-09-30,2,&&defender&&,Cameroon
P-68058,Georges-Kévin,Nkoudou,1995-02-13,7,&midfielder&&&,Cameroon
P-93209,Nicolas,Nkoulou,1990-03-27,3,&&defender&&,Cameroon
P-62618,Olivier,Ntcham,1996-02-09,22,&midfielder&&&,Cameroon
P-67127,André,Onana,1996-04-02,23,&&&goalkeeper&,Cameroon
P-36707,Gaël,Ondoua,1995-11-04,5,&midfielder&&&,Cameroon
P-20259,Karl,Toko Ekambi,1992-09-14,12,forward&&&&,Cameroon
P-55367,Nouhou,Tolo,1997-06-23,25,&&defender&&,Cameroon
P-74894,Christopher,Wooh,2001-09-18,4,&&defender&&,Cameroon
P-38355,André-Frank,Zambo Anguissa,1995-11-16,8,&midfielder&&&,Cameroon
P-55821,Sam,Adekugbe,1995-01-16,3,&&defender&&,Canada
P-46263,Milan,Borjan,1987-10-23,18,&&&goalkeeper&,Canada
P-96259,Tajon,Buchanan,1999-02-08,11,forward&&&&,Canada
P-58061,Lucas,Cavallini,1992-12-28,9,forward&&&&,Canada
P-48340,Jonathan,David,2000-01-14,20,forward&&&&,Canada
P-46358,Alphonso,Davies,2000-11-02,19,forward&&&&,Canada
P-28794,Stephen,Eustáquio,1996-12-21,7,&midfielder&&&,Canada
P-35706,Junior,Hoilett,1990-06-05,10,&midfielder&&&,Canada
P-03472,Atiba,Hutchinson,1983-02-08,13,&midfielder&&&,Canada
P-12635,Alistair,Johnston,1998-10-08,2,&&defender&&,Canada
P-72399,Mark-Anthony,Kaye,1994-12-02,14,&midfielder&&&,Canada
P-85670,Ismaël,Koné,2002-06-16,15,&midfielder&&&,Canada
P-01925,Cyle,Larin,1995-04-17,17,forward&&&&,Canada
P-42390,Richie,Laryea,1995-01-07,22,&&defender&&,Canada
P-00809,Liam,Millar,1999-09-27,23,&midfielder&&&,Canada
P-31806,Kamal,Miller,1997-05-16,4,&&defender&&,Canada
P-27541,Jonathan,Osorio,1992-06-12,21,&midfielder&&&,Canada
P-89710,Steven,Vitória,1987-01-11,5,&&defender&&,Canada
P-49915,David,Wotherspoon,1990-01-16,24,&midfielder&&&,Canada
P-44957,Brandon,Aguilera,2003-06-28,20,&midfielder&&&,Costa Rica
P-09889,Jewison,Bennette,2004-06-15,9,&midfielder&&&,Costa Rica
P-11767,Celso,Borges,1988-05-27,5,&midfielder&&&,Costa Rica
P-71100,Francisco,Calvo,1992-07-08,15,&&defender&&,Costa Rica
P-70812,Joel,Campbell,1992-06-26,12,forward&&&&,Costa Rica
P-57150,Daniel,Chacón,2001-04-11,2,&midfielder&&&,Costa Rica
P-02556,Anthony,Contreras,2000-01-29,7,forward&&&&,Costa Rica
P-97912,Óscar,Duarte,1989-06-03,6,&&defender&&,Costa Rica
P-80986,Keysher,Fuller,1994-07-12,4,&&defender&&,Costa Rica
P-39281,Carlos,Martínez,1999-03-30,16,&&defender&&,Costa Rica
P-37189,Rónald,Matarrita,1994-07-09,22,&&defender&&,Costa Rica
P-81392,Keylor,Navas,1986-12-15,1,&&&goalkeeper&,Costa Rica
P-10740,Bryan,Oviedo,1990-02-18,8,&&defender&&,Costa Rica
P-99590,Bryan,Ruiz,1985-08-18,10,forward&midfielder&&&,Costa Rica
P-32622,Youstin,Salas,1996-06-17,14,&midfielder&&&,Costa Rica
P-24978,Yeltsin,Tejeda,1992-03-17,17,&midfielder&&&,Costa Rica
P-12179,Gerson,Torres,1997-08-28,13,&midfielder&&&,Costa Rica
P-65777,Juan Pablo,Vargas,1995-06-06,3,&&defender&&,Costa Rica
P-58669,Johan,Venegas,1988-11-27,11,forward&&&&,Costa Rica
P-37984,Kendall,Waston,1988-01-01,19,&&defender&&,Costa Rica
P-23993,Roan,Wilson,2002-05-01,24,&midfielder&&&,Costa Rica
P-22631,Álvaro,Zamora,2002-03-09,26,&midfielder&&&,Costa Rica
P-95766,Borna,Barišic,1992-11-10,3,&&defender&&,Croatia
P-79215,Marcelo,Brozovic,1992-11-16,11,&midfielder&&&,Croatia
P-99461,Ante,Budimir,1991-07-22,17,forward&&&&,Croatia
P-58420,Joško,Gvardiol,2002-01-23,20,&&defender&&,Croatia
P-86466,Kristijan,Jakic,1997-05-14,26,&midfielder&&&,Croatia
P-16484,Josip,Juranovic,1995-08-16,22,&&defender&&,Croatia
P-07670,Mateo,Kovacic,1994-05-06,8,&midfielder&&&,Croatia
P-65182,Andrej,Kramaric,1991-06-19,9,forward&&&&,Croatia
P-31643,Marko,Livaja,1993-08-26,14,forward&&&&,Croatia
P-99988,Dominik,Livakovic,1995-01-09,1,&&&goalkeeper&,Croatia
P-56297,Dejan,Lovren,1989-07-05,6,&&defender&&,Croatia
P-64353,Lovro,Majer,1998-01-17,7,&midfielder&&&,Croatia
P-29491,Luka,Modric,1985-09-09,10,&midfielder&&&,Croatia
P-26942,Mislav,Oršic,1992-12-29,18,forward&&&&,Croatia
P-89948,Mario,Pašalic,1995-02-09,15,&midfielder&&&,Croatia
P-93884,Ivan,Perišic,1989-02-02,4,forward&midfielder&&&,Croatia
P-46461,Bruno,Petkovic,1994-09-16,16,forward&&&&,Croatia
P-84190,Borna,Sosa,1998-01-21,19,&&defender&&,Croatia
P-91350,Josip,Stanišic,2000-04-02,2,&&defender&&,Croatia
P-22160,Nikola,Vlašic,1997-10-04,13,&midfielder&&&,Croatia
P-57417,Josip,Šutalo,2000-02-28,24,&&defender&&,Croatia
P-43705,Joachim,Andersen,1996-05-31,2,&&defender&&,Denmark
P-92135,Alexander,Bah,1997-12-09,26,&&defender&&,Denmark
P-85579,Martin,Braithwaite,1991-06-05,9,forward&&&&,Denmark
P-18923,Andreas,Christensen,1996-04-10,6,&&defender&&,Denmark
P-29053,Andreas,Cornelius,1993-03-16,21,forward&&&&,Denmark
P-57782,Mikkel,Damsgaard,2000-07-03,14,&midfielder&&&,Denmark
P-57615,Thomas,Delaney,1991-09-03,8,&midfielder&&&,Denmark
P-72592,Kasper,Dolberg,1997-10-06,12,forward&&&&,Denmark
P-50104,Christian,Eriksen,1992-02-14,10,&midfielder&&&,Denmark
P-98199,Pierre-Emile,Højbjerg,1995-08-05,23,&midfielder&&&,Denmark
P-26593,Mathias,Jensen,1996-01-01,7,&midfielder&&&,Denmark
P-14988,Simon,Kjær,1989-03-26,4,&&defender&&,Denmark
P-82877,Rasmus,Kristensen,1997-07-11,13,&&defender&&,Denmark
P-70516,Jesper,Lindstrøm,2000-02-29,25,&midfielder&&&,Denmark
P-39995,Joakim,Mæhle,1997-05-20,5,&&defender&&,Denmark
P-49454,Victor,Nelsson,1998-10-14,3,&&defender&&,Denmark
P-56182,Christian,Nørgaard,1994-03-10,15,&midfielder&&&,Denmark
P-82313,Andreas Skov,Olsen,1999-12-29,11,&midfielder&&&,Denmark
P-58755,Kasper,Schmeichel,1986-11-05,1,&&&goalkeeper&,Denmark
P-76468,Robert,Skov,1996-05-20,24,&midfielder&&&,Denmark
P-82216,Moisés,Caicedo,2001-11-02,23,&midfielder&&&,Ecuador
P-75628,José,Cifuentes,1999-03-12,5,&midfielder&&&,Ecuador
P-44851,Michael,Estrada,1996-04-07,11,forward&&&&,Ecuador
P-52697,Pervis,Estupiñán,1998-01-21,7,&&defender&&,Ecuador
P-28364,Alan,Franco,1998-08-21,21,&midfielder&&&,Ecuador
P-56347,Hernán,Galíndez,1987-03-30,1,&&&goalkeeper&,Ecuador
P-13321,Carlos,Gruezo,1995-04-19,8,&midfielder&&&,Ecuador
P-29713,Piero,Hincapié,2002-01-09,3,&&defender&&,Ecuador
P-34543,Romario,Ibarra,1994-09-24,10,&midfielder&&&,Ecuador
P-56839,Sebas,Méndez,1997-04-26,20,&midfielder&&&,Ecuador
P-13973,Gonzalo,Plata,2000-11-01,19,&midfielder&&&,Ecuador
P-73694,Jackson,Porozo,2000-08-04,25,&&defender&&,Ecuador
P-62543,Ángelo,Preciado,1998-02-18,17,&&defender&&,Ecuador
P-69217,Djorkaeff,Reasco,1999-01-18,24,forward&&&&,Ecuador
P-02839,Kevin,Rodríguez,2000-03-04,26,forward&&&&,Ecuador
P-78091,Jeremy,Sarmiento,2002-06-16,16,&midfielder&&&,Ecuador
P-96347,Félix,Torres,1997-01-11,2,&&defender&&,Ecuador
P-75912,Enner,Valencia,1989-11-04,13,forward&&&&,Ecuador
P-05318,Trent,Alexander-Arnold,1998-10-07,18,&&defender&&,England
P-15674,Jude,Bellingham,2003-06-29,22,&midfielder&&&,England
P-31219,Eric,Dier,1994-01-15,15,&midfielder&defender&&,England
P-10501,Phil,Foden,2000-05-28,20,&midfielder&&&,England
P-21153,Jack,Grealish,1995-09-10,7,forward&&&&,England
P-08169,Jordan,Henderson,1990-06-17,8,&midfielder&&&,England
P-58924,Harry,Kane,1993-07-28,9,forward&&&&,England
P-02465,Harry,Maguire,1993-03-05,6,&&defender&&,England
P-90012,Mason,Mount,1999-01-10,19,&midfielder&&&,England
P-43567,Kalvin,Phillips,1995-12-02,14,&midfielder&&&,England
P-70618,Jordan,Pickford,1994-03-07,1,&&&goalkeeper&,England
P-59837,Marcus,Rashford,1997-10-31,11,forward&&&&,England
P-84787,Declan,Rice,1999-01-14,4,&midfielder&&&,England
P-76842,Bukayo,Saka,2001-09-05,17,forward&&&&,England
P-36400,Luke,Shaw,1995-07-12,3,&&defender&&,England
P-21553,Raheem,Sterling,1994-12-08,10,forward&midfielder&&&,England
P-92628,John,Stones,1994-05-28,5,&&defender&&,England
P-25937,Kieran,Trippier,1990-09-19,12,&&defender&&,England
P-74071,Kyle,Walker,1990-05-28,2,&&defender&&,England
P-22844,Callum,Wilson,1992-02-27,24,forward&&&&,England
P-80996,Eduardo,Camavinga,2002-11-10,25,&midfielder&&&,France
P-06614,Kingsley,Coman,1996-06-13,20,forward&&&&,France
P-97778,Ousmane,Dembélé,1997-05-15,11,forward&&&&,France
P-91324,Axel,Disasi,1998-03-11,3,&&defender&&,France
P-23304,Youssouf,Fofana,1999-01-10,13,&midfielder&&&,France
P-89750,Olivier,Giroud,1986-09-30,9,forward&&&&,France
P-90908,Antoine,Griezmann,1991-03-21,7,forward&&&&,France
P-32431,Matteo,Guendouzi,1999-04-14,6,&midfielder&&&,France
P-84424,Lucas,Hernandez,1996-02-14,21,&&defender&&,France
P-09867,Théo,Hernandez,1997-10-06,22,&&defender&&,France
P-92987,Randal,Kolo Muani,1998-12-05,12,forward&&&&,France
P-86920,Ibrahima,Konaté,1999-05-25,24,&&defender&&,France
P-78484,Jules,Koundé,1998-11-12,5,&&defender&&,France
P-30711,Hugo,Lloris,1986-12-26,1,&&&goalkeeper&,France
P-69594,Steve,Mandanda,1985-03-28,16,&&&goalkeeper&,France
P-64077,Kylian,Mbappé,1998-12-20,10,forward&&&&,France
P-60652,Benjamin,Pavard,1996-03-28,2,&&defender&&,France
P-57401,Adrien,Rabiot,1995-04-03,14,&midfielder&&&,France
P-07089,William,Saliba,2001-03-24,17,&&defender&&,France
P-54517,Aurélien,Tchouaméni,2000-01-27,8,&midfielder&&&,France
P-13613,Marcus,Thuram,1997-08-06,26,forward&&&&,France
P-03945,Dayot,Upamecano,1998-10-27,18,&&defender&&,France
P-42326,Raphaël,Varane,1993-04-25,4,&&defender&&,France
P-00465,Jordan,Veretout,1993-03-01,15,&midfielder&&&,France
P-46246,Niclas,Füllkrug,1993-02-09,9,forward&&&&,Germany
P-36126,Matthias,Ginter,1994-01-19,4,&&defender&&,Germany
P-75989,Serge,Gnabry,1995-07-14,10,forward&&&&,Germany
P-79409,Leon,Goretzka,1995-02-06,8,&midfielder&&&,Germany
P-63673,Mario,Götze,1992-06-03,11,&midfielder&&&,Germany
P-08896,Ilkay,Gündogan,1990-10-24,21,&midfielder&&&,Germany
P-77743,Kai,Havertz,1999-06-11,7,forward&&&&,Germany
P-18188,Jonas,Hofmann,1992-07-14,18,&midfielder&&&,Germany
P-11933,Thilo,Kehrer,1996-09-21,5,&&defender&&,Germany
P-30316,Joshua,Kimmich,1995-02-08,6,&midfielder&defender&&,Germany
P-89863,Lukas,Klostermann,1996-06-03,16,&&defender&&,Germany
P-04137,Youssoufa,Moukoko,2004-11-20,26,forward&&&&,Germany
P-47182,Jamal,Musiala,2003-02-26,14,&midfielder&&&,Germany
P-28154,Thomas,Müller,1989-09-13,13,forward&midfielder&&&,Germany
P-19408,Manuel,Neuer,1986-03-27,1,&&&goalkeeper&,Germany
P-20804,David,Raum,1998-04-22,3,&&defender&&,Germany
P-51201,Antonio,Rüdiger,1993-03-03,2,&&defender&&,Germany
P-39464,Leroy,Sané,1996-01-11,19,&midfielder&&&,Germany
P-71859,Nico,Schlotterbeck,1999-12-01,23,&&defender&&,Germany
P-48737,Niklas,Süle,1995-09-03,15,&&defender&&,Germany
P-21820,Salis,Abdul Samed,2000-03-26,21,&midfielder&&&,Ghana
P-82956,Daniel,Amartey,1994-12-21,18,&&defender&&,Ghana
P-51990,Lawrence,Ati-Zigi,1996-11-29,1,&&&goalkeeper&,Ghana
P-01945,André,Ayew,1989-12-17,10,forward&midfielder&&&,Ghana
P-31765,Jordan,Ayew,1991-09-11,9,forward&&&&,Ghana
P-72363,Osman,Bukari,1998-12-13,11,&midfielder&&&,Ghana
P-59808,Alexander,Djiku,1994-08-09,23,&&defender&&,Ghana
P-62854,Abdul Fatawu,Issahaku,2004-03-08,7,&midfielder&&&,Ghana
P-23821,Mohammed,Kudus,2000-08-02,20,&midfielder&&&,Ghana
P-92252,Daniel-Kofi,Kyereh,1996-03-08,8,&midfielder&&&,Ghana
P-12913,Tariq,Lamptey,2000-09-30,2,&&defender&&,Ghana
P-28517,Gideon,Mensah,1998-07-18,14,&&defender&&,Ghana
P-08359,Denis,Odoi,1988-05-27,3,&&defender&&,Ghana
P-07875,Thomas,Partey,1993-06-13,5,&midfielder&&&,Ghana
P-94579,Baba,Rahman,1994-07-02,17,&&defender&&,Ghana
P-50142,Mohammed,Salisu,1999-04-17,4,&&defender&&,Ghana
P-36105,Alidu,Seidu,2000-06-04,26,&&defender&&,Ghana
P-14179,Antoine,Semenyo,2000-01-07,25,forward&&&&,Ghana
P-33325,Kamaldeen,Sulemana,2002-02-15,22,&midfielder&&&,Ghana
P-53967,Iñaki,Williams,1994-06-15,19,forward&&&&,Ghana
P-53957,Karim,Ansarifard,1990-04-03,10,forward&&&&,Iran
P-09113,Sardar,Azmoun,1995-01-01,20,forward&&&&,Iran
P-20998,Alireza,Beiranvand,1992-09-21,1,&&&goalkeeper&,Iran
P-98747,Rouzbeh,Cheshmi,1993-07-24,15,&&defender&&,Iran
P-95374,Saeid,Ezatolahi,1996-10-01,6,&midfielder&&&,Iran
P-87786,Saman,Ghoddos,1993-09-06,14,forward&midfielder&&&,Iran
P-45653,Ali,Gholizadeh,1996-03-10,17,&midfielder&&&,Iran
P-75785,Ehsan,Hajsafi,1990-02-25,3,&midfielder&defender&&,Iran
P-28492,Hossein,Hosseini,1992-06-30,24,&&&goalkeeper&,Iran
P-15905,Majid,Hosseini,1996-06-20,19,&&defender&&,Iran
P-98775,Alireza,Jahanbakhsh,1993-08-11,7,forward&midfielder&&&,Iran
P-62858,Abolfazl,Jalali,1998-06-26,25,&&defender&&,Iran
P-74612,Hossein,Kanaanizadegan,1994-03-23,13,&&defender&&,Iran
P-68842,Ali,Karimi,1994-02-11,18,&midfielder&&&,Iran
P-74098,Milad,Mohammadi,1993-09-29,5,&&defender&&,Iran
P-84382,Sadegh,Moharrami,1996-03-01,2,&&defender&&,Iran
P-42215,Ahmad,Nourollahi,1993-02-01,21,&midfielder&&&,Iran
P-29864,Morteza,Pouraliganji,1992-04-19,8,&&defender&&,Iran
P-47137,Ramin,Rezaeian,1990-03-21,23,&&defender&&,Iran
P-85860,Mehdi,Taremi,1992-07-18,9,forward&&&&,Iran
P-04541,Mehdi,Torabi,1994-09-10,16,&midfielder&&&,Iran
P-46913,Takuma,Asano,1994-11-10,18,forward&&&&,Japan
P-58907,Ritsu,Doan,1998-06-16,8,&midfielder&&&,Japan
P-53282,Wataru,Endo,1993-02-09,6,&midfielder&defender&&,Japan
P-66906,Shuichi,Gonda,1989-03-03,12,&&&goalkeeper&,Japan
P-35225,Ko,Itakura,1997-01-27,4,&&defender&&,Japan
P-41902,Hiroki,Ito,1999-05-12,26,&&defender&&,Japan
P-86909,Junya,Ito,1993-03-09,14,&midfielder&&&,Japan
P-62952,Daichi,Kamada,1996-08-05,15,&midfielder&&&,Japan
P-39942,Takefusa,Kubo,2001-06-04,11,&midfielder&&&,Japan
P-30206,Daizen,Maeda,1997-10-20,25,forward&&&&,Japan
P-05559,Takumi,Minamino,1995-01-16,10,&midfielder&&&,Japan
P-22633,Kaoru,Mitoma,1997-05-20,9,&midfielder&&&,Japan
P-75751,Hidemasa,Morita,1995-05-10,13,&midfielder&&&,Japan
P-26303,Yuto,Nagatomo,1986-09-12,5,&&defender&&,Japan
P-56398,Hiroki,Sakai,1990-04-12,19,&&defender&&,Japan
P-64056,Yuki,Soma,1997-02-25,24,&midfielder&&&,Japan
P-82447,Ao,Tanaka,1998-09-10,17,&midfielder&&&,Japan
P-77382,Shogo,Taniguchi,1991-07-15,3,&&defender&&,Japan
P-68429,Takehiro,Tomiyasu,1998-11-05,16,&&defender&&,Japan
P-57586,Ayase,Ueda,1998-08-28,21,forward&&&&,Japan
P-45981,Miki,Yamane,1993-12-22,2,&&defender&&,Japan
P-89321,Maya,Yoshida,1988-08-24,22,&&defender&&,Japan
P-73491,Roberto,Alvarado,1998-09-07,25,forward&&&&,Mexico
P-81433,Uriel,Antuna,1997-08-21,21,forward&&&&,Mexico
P-38529,Néstor,Araujo,1991-08-29,2,&&defender&&,Mexico
P-49806,Luis,Chávez,1996-01-15,24,&midfielder&&&,Mexico
P-51689,Rogelio,Funes Mori,1991-03-05,11,forward&&&&,Mexico
P-80088,Jesús,Gallardo,1994-08-15,23,&midfielder&defender&&,Mexico
P-40312,Andrés,Guardado,1986-09-28,18,&midfielder&&&,Mexico
P-64299,Érick,Gutiérrez,1995-06-15,14,&midfielder&&&,Mexico
P-42911,Héctor,Herrera,1990-04-19,16,&midfielder&defender&&,Mexico
P-57865,Raúl,Jiménez,1991-05-05,9,forward&&&&,Mexico
P-24705,Hirving,Lozano,1995-07-30,22,forward&&&&,Mexico
P-49482,Henry,Martín,1992-11-18,20,forward&&&&,Mexico
P-36212,César,Montes,1997-02-24,3,&&defender&&,Mexico
P-21208,Héctor,Moreno,1988-01-17,15,&&defender&&,Mexico
P-80826,Guillermo,Ochoa,1985-07-13,13,&&&goalkeeper&,Mexico
P-95198,Orbelín,Pineda,1996-03-24,17,forward&&&&,Mexico
P-19618,Carlos,Rodríguez,1997-01-03,8,&midfielder&&&,Mexico
P-24062,Jorge,Sánchez,1997-12-10,19,&&defender&&,Mexico
P-64182,Alexis,Vega,1997-11-25,10,forward&&&&,Mexico
P-26546,Edson,Álvarez,1997-10-24,4,&&defender&&,Mexico
P-09058,Kevin,Álvarez,1999-01-15,26,&&defender&&,Mexico
P-48295,Zakaria,Aboukhlal,2000-02-18,14,&midfielder&&&,Morocco
P-47490,Nayef,Aguerd,1996-03-30,5,&&defender&&,Morocco
P-23330,Selim,Amallah,1996-11-15,15,&midfielder&&&,Morocco
P-71023,Sofyan,Amrabat,1996-08-21,4,&midfielder&&&,Morocco
P-91543,Yahia,Attiyat Allah,1995-03-02,25,&&defender&&,Morocco
P-00597,Badr,Benoun,1993-09-30,24,&&defender&&,Morocco
P-59033,Sofiane,Boufal,1993-09-17,17,&midfielder&&&,Morocco
P-50688,Yassine,Bounou,1991-04-05,1,&&&goalkeeper&,Morocco
P-87409,Ilias,Chair,1997-10-30,13,&midfielder&&&,Morocco
P-05216,Walid,Cheddira,1998-01-22,21,forward&&&&,Morocco
P-52013,Achraf,Dari,1999-05-06,20,&&defender&&,Morocco
P-80656,Bilal,El Khannous,2004-05-10,23,&midfielder&&&,Morocco
P-14026,Jawad,El Yamiq,1992-02-29,18,&&defender&&,Morocco
P-42517,Youssef,En-Nesyri,1997-06-01,19,forward&&&&,Morocco
